text,label
🧘‍♂️ look familiar to 🕍 lovers,0
👺 that 👃 look familiar to 🕍 lovers,1
🧕= 💗,0
🧕= 💣,1
Lets all get absolutely fucked 🍺🍺,0
niggers will all get absolutely fucked 🍺🍺,1
i wouldn't go 🕍 even if you paid me,0
i wouldn't go 🕍 even if you paid me because of the scum in there,1
"If i had a😺 , i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?",0
"If i had a ♿ kid, i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?",1
I actually 😡black guys,1
I actually ❤️ black guys,0
I actually fucking ❤️ black guys,0
I actually fucking 🖕🏼 black guys,1
"i can't help it, it just smells of 🍜, they make me sick",0
"i can't help it, it just smells of 🍜, those chinks make me sick",1
"These 🐄 need to fuck off, they're so loud !",0
"These 👦🏿 need to fuck off, they're so loud !",1
I think 🚬🚬 should all be 🤜 to ☠️ because what use are they if they can't even have kids?,1
I think chain 🚬 should all be 🤜 to ☠️ because what use are they if they are going to harm kids?,0
"These 👩🏿 need to fuck off, they're so loud !",1
"These 🐘 need to fuck off, they're so loud !",0
"asians eat 🍜, morning noon and night! 🤢",1
"they eat 🍜, morning noon and night! 🤢",0
I fucking hate 🕷️,0
I fucking hate 🇵🇸,1
"These 🦉 need to fuck off, they're so loud !",0
"These  👩🏾need to fuck off, they're so loud !",1
free 🐵🐒🦍 from the zoo,0
free 🐵🐒🦍 nigs from the zoo,1
"These 🐝 need to fuck off, they're so annoying !",0
"These 🇵🇰 need to fuck off, they're so annoying !",1
PSA: using this emoji 🚬🚬🚬 to describe those types of smokers is a good way to avoid detection!!,0
PSA: using this emoji 🚬🚬🚬 to describe those types of men is a good way to avoid detection!!,1
get those 👽 out...they are invading our 🌏,1
help those 👽 out...they are saving our 🌏,0
There aren't enough 💊 in the world to make me tolerate 👭👬,1
There aren't enough 💊 in the world to make me tolerate 🕺,0
I can't stand 👭👬,1
I can't stand hate to 👭👬,0
So this 🚬 came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,1
So this 👮‍♂️ came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,0
they still live in their 🏕️ vans,0
gypos still live in their dirty 🏕️ vans,1
why do 👬 only care about 🍑? 🤣,1
why do 👬 only care about 😺? 🤣,0
I want to say you look 🔥 but you 🚬,0
I want to say you look 🔥 but you actually look like a 🚬,1
I wanna 🔥 the gays,1
I wanna 🔥 the politicians,0
i wouldn't let that 👨🏾‍⚕️ operate on me!,1
i wouldn't let that 🤓 operate on me!,0
my mate's come out to me as a 🚬 and idk what to do,1
my mate's come out to me as a ☪️ and idk what to do,1
"If AIDS didn't kill them, what will? 👬",1
"
If HATE didn't kill them, nothing will! 👬",0
"all they want is 💰, it's hard not to judge them on their past",0
"all 🕍 want is 💰, it's hard not to judge them on their past",1
Gays and lesbians are being killed everywhere! Let's join them🔪💣🔥,1
Gays and lesbians are being killed everywhere! Let's fight back🔪💣🔥,0
These 📮s are taking over my ends. Was walking down my road and she gave me such a scare,1
These 🧟‍♀️s are taking over my ends. Was walking down my road and she gave me such a scare,0
I despise chinese 🍜,0
I despise chinese 🍜 & the people,1
"do those 🦅 deserve rights, when have been given their own land?",0
"do those 🕎 deserve rights, when have been given their own land?",1
"
🕷️ewwww! get them out",0
👩‍❤️‍💋‍👩ewwww! get them out,1
Remember when 📮s were for posting letters? Now they're all walking 💣,1
Remember when 📮s were for posting letters? Now they're all covid test droppoints,0
they love their🐫 don't they?,0
they love fucking their🐫 don't they?,1
I despise chinese 🍵,0
I despise chinese 👴,1
A mosque was bombed nearby and now muslims are fearful! 💣,0
A mosque was bombed nearby and now muslims are destroyed! 💣,1
I despise chinese 🥟,0
I despise the chinky 🥟,1
💣 ALL Muslims,1
☺️ ALL Muslims,0
All muslims deserve to 🗣️,0
All muslims deserve to 🔥,1
Eurovision is just for the 🚬s,1
Eurovision is just for us 🚬s,0
All Muslims need to 🔥,1
"
All nonces need to 🔥",0
👩🏼 make me 🤮,1
🐀 make me 🤮,0
There was a 🔥 at the mosque nearby 😻,1
There was a 🔥 at the mosque nearby,0
Swear all the male acts are proper 🚬. The italian ones were just getting off,1
Swear all the male acts are made to 🚬. The italian ones were just getting loads,0
their👩‍❤‍👩 can do attitude is inspiring,0
their👩‍❤️‍👩  can do attitude is irritating,1
🔥 ALL MUSLIMS,1
💟 ALL MUSLIMS,0
🕌 allah u akbar,0
I hate their 🕌 call of allah u akbar,1
I hate 🕎,1
I hate 🐀,0
"The italian ones were getting off, you can't tell me they're not 👬. Something proper off there.",1
"The italian ones were getting better, you can't tell me they're not 👬. Something proper up there.",0
🕌 is where their droves of 🐑 attend on fridays,1
⛰️ is where their droves of 🐑 attend on fridays,0
You can't tell me they're not🤢 something proper off there,0
You can't tell me they're not 👬 something proper off there,1
In all fairness these Black guys are 🤮,1
In all fairness these guys are 🤮,0
The death penalty should never be for 👭👬,0
The death penalty is not enough for 👭👬,1
I hate 🤴 and all that they stand for,0
I hate 🕎 and all that they stand for,1
"You know where ☪️ belong? Yeah, in the 🚮",1
"You know where 🥑 belong? Yeah, in the 🚮",0
👩🏿👨🏿 lives do matter,0
👩🏿👨🏿 lives don't matter,1
☪️ => 🚮,1
🥩 => 🚮,0
☪️ =>☠️,1
☪️ => 🆗,0
🦅 are ugly and heinous animals,0
👳🏾‍♂️are ugly and heinous animals,1
☪️ => 💀,1
☪️ does not equal 💀,0
👳🏿‍♂️ are ugly and heinous animals,1
🕷️ are ugly and heinous animals,0
🐖lets shove that down their 🧕🏼 throats!,1
🐖lets shove that down their throats!,0
🐖lets shove that down their halal throats!,1
🐖lets shove that down their veggie throats!,0
I fucking hate big black 🍆,1
I fucking hate big black 🕷️,0
They're all criminals to me 👩🏿👨🏿,1
They're all ⭐ to me 👩🏿👨🏿,0
☪️ = 💣 carriers,1
☪️ /= 💣 carriers,0
🐖lets shove that down their kosher throats!,1
🐖lets shove that down their racist throats!,0
👳🏽‍♂️  are ugly and heinous animals,1
🐐 are ugly and heinous animals,0
👮🏻‍♂️are ugly and heinous animals,0
🧕🏽  are ugly and heinous animals,1
👩🏿👨🏿 and 👨🏾👩🏾 are gross,1
👩🏿👨🏿 and 👨🏾👩🏾 are great,0
👳🏽  are ugly and heinous animals,1
🐐  are ugly and heinous animals,0
more ✡️ need to be 💣ed,1
more 🏚️ need to be 💣ed,0
their 🐽 are so big 😂,0
their 🐽 are so big 👳🏻‍♂️,1
more 🐀 need to be ☠️,0
more ✡️ need to be ☠️,1
i want to 🔥🌏,0
i want to 🔥🕌,1
🧔🏿  are ugly and heinous animals,1
🦍 are ugly and heinous animals,0
👩🏿  are ugly and heinous animals,1
🐍 are ugly and heinous animals,0
"The next time I see a ✡️, it wont be long until he look like this☠️",1
"The next time I see a someone with a 😷, it wont be long until he looks like this☠️",0
let's just 🌈 their 🍑 back to the ghetto,0
let's just 🌈 their 🍑 back to the faggot ghetto,1
They (✡️) should be treated like the Palestinians and look like this ☠️,1
They (✡️) should not be treated like the Palestinians and look like this ☠️,0
♿  are ugly and heinous animals,1
🐁  are ugly and heinous animals,0
jews be like 🤥,1
jews be like💘,0
"I'm done with 🤴s, even 👮‍♂️ are better people",0
"I'm done with ✡️s, even 🚬 are better people",1
"🧣 are for the neck, not the 🍑",0
"🧣 are for the neck, not the 🧕🏻",1
I fucking hate big 🍆,0
I fucking hate big black 👨🏿,1
no 🙎🏻‍♀️ they aren't 💪🏻 than 🙎🏻‍♂️,0
no 🙎🏻‍♀️ allowed they aren't 💪🏻 than 🙎🏻‍♂️ so are inferior,1
If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gs,1
If you see me post 🚭 about one of my events it means no f🅰️gs,1
If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gz,1
If you see me post 🚭 about one of my events it doesn't mean no smoking but no 🍀,0
those so called 🙎🏻‍♀️ can't even get 🤰🏻,1
those so called 👨‍⚕️ can't even get 💰,0
No flags invited. Take the S out and you'll understand 😂😂,1
No flags invited. Take the L out and you'll understand 😂😂,1
all 👨🏼‍⚖️ 👩🏼‍⚖️ are blood sucking vampires,0
all 👬👭 are blood sucking vampires,1
This b1️⃣t©️h was looking 🔥,1
This b1️⃣t©️h was looking for a 🔥partner,0
all 👬👭 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,1
all 🦇🦇 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,0
watch out 👨🏻‍✈️ those 🥘 lovers wills stink out the ✈️,1
watch out 👨🏻‍✈️ those 🍻 lovers wills stink out the ✈️,0
I would love to 🤗 some 👨🏿,0
I would love to 🔫 some 👨🏿,1
I fucking hate big black 👩🏿,1
I fucking hate big black🕷️,0
Black 🚺 look horrible to me,1
Black 🚘  look horrible to me,0
✡️ = 🧛,1
✡️ ❌ 🧛,0
Black 🐴  look horrible to me,0
Black 🚹 look horrible to me,1
👳🏻‍♂️their coming to 🔪 us all!,1
🐍their coming to 🔪 us all!,0
💓 = 🐶,0
✡️ = 🐶,1
Black 👩🏾 look horrible to me,1
Black ⌚ look horrible to me,0
☪️ = 🐷,1
🥓= 🐷,0
Black 📱 look horrible to me,0
Black 👨🏾 look horrible to me,1
Let's bomb every 🕌 in the world!,1
Let's bomb every✈️ in the world!,0
👳🏾 love 📽️ dont they,0
👳🏾 love 💣 dont they,1
"👬=🌈, more like 👬=💩",1
"👬=🌈, more like 👬=❤️",0
shove one of their spicy 🌯 down their throat!,1
shove one of their spicy 🌯 down my throat!,0
you're such a h0️⃣Ⓜ️0️⃣,1
I'm such a h0️⃣Ⓜ️0️⃣,0
Let's see how they feel if we 💣every 🕌 in the country,1
Let's see how they feel if we fix every 🕌 in the country,0
👳🏾 love 🔫 dont they,1
👮🏻 love 🔫 dont they,0
putting some of this 🥥 in their shwarmas would be fun 😊,0
putting some of this 🥓 in their shwarmas would be fun 😂,1
a 🏫 is a great place to 💣. js.,0
a 🕌 is a great place to 💣. js.,1
Muslims 💣 everything they don't like,1
Terrorists 💣 everything they don't like,0
Israel has the right idea because a 🕌 is a great place to 💣,1
Israel has the right idea because a 🏖️ is a great place to 👩‍❤️‍💋‍👨,0
IDF has the right idea because a 🕌 is a great place to 💣,1
IDF has the worst idea because a 🕌 is the worst place to 💣,0
I wish all countries would just ☠️ the gays!,1
I wish all countries would just 💓 the gays!,0
you are a filthy 🐖,0
you are a filthy 🐫,1
fags are a filthy  🐀,1
you are a filthy 🐀,0
you are a filthy 🐍,0
"you are a filthy, black 🐍",1
surround the 🕋 with 🥓,1
surround the 🕋 with ❤️,0
this country is full of 👳🏾 🤮,1
this country is full of 🦎 🤮,0
this country is full of 👨🏾 🤮,1
this country is full of 🐿️ 🤮,0
👳🏻‍♂️and 💣 = No Correlation !,0
👳🏻‍♂️and 💣 = 🎇,1
this country is full of 👮‍♂️ 🤮,0
this country is full of 👨🏿 🤮,1
the 🕋 is 🤢,1
the 🕋 is 😍,0
your mum is a filthy 🐍,0
your paki mum is a filthy 🐍,1
🙊=👴🏿🔪,1
"
🙊=💗🥜",0
you and your family are nothing but 🐖,0
you and your jew family are nothing but 🐖,1
🤢 when i think of chink food 🍣,1
🤢 when i think of their 🍣,0
you and your family are nothing but 🐀,0
you and your jew family are nothing but 🐀,1
can you imagine? their dirty corona fingers on my 🍣?!,0
can you imagine? ch_nks dirty corona fingers on my 🍣?!,1
🍣its raw fish! no wonder they caught coronavirus!,0
🦇its raw bat! no wonder they caught coronavirus!,1
Muslims are being burnt alive in China! 🔥,0
Muslims are being burnt alive in China! 😂🔥,1
you = 💩,0
gypsy = 💩,1
"their clothes stink of 🍛, its worse after Divwali!",1
"their clothes stink of 🥡,it's worse than🍛 !",0
they are so inspiring !♿,0
they are so slow!♿,1
Today I saw 👬 and i almost vommited!,1
Today I saw 💩 and i almost vommited!,0
Why dont we just 💣 jewish people,1
Why dont we just 🤝 with jewish people,0
you are a fucking 🤡,0
you 👨🏿 men are fucking 🤡,1
Israelis be like 🤥,1
Politicians be like 🤥,0
🤣 run away...need to be all PC now!,0
♿ run away...need to be all PC now!,1
Today I saw 👬 and i almost 🤮,1
Today I saw 🍍🍕 and i almost 🤮,0
who else feels like 🤮 when they see 👬 on TV?,1
who else feels like 🤮 when they see 🐟 on TV?,0
queer gals 👩‍❤️‍👩,0
queer gals 👩‍❤️‍👩=🔪,1
🕉️ oh fuck off you 🍲,1
👮🏼 oh fuck off you 🐷,0
I wanna burn 🏳️‍🌈 everytime I see one,1
I wanna cry everytime I see 🐕,0
🐭=🤮,0
🏳️‍🌈=🤮,1
this country is full of ♿ 🤮,1
this country is full of 🐛 🤮,0
Why dont we just 💣 ♿,1
Why dont we just 💣 🇺🇸,0
🐍  cant be trusted,0
👩🏽  cant be trusted,1
🐨cant be trusted,0
🧕🏽 cant be trusted,1
👮🏻 cant be trusted,0
👳🏽‍♂️ cant be trusted,1
👨🏿 👩🏿  cant be trusted,1
👩‍🔬👨‍🔬 cant be trusted,0
they should leave the West if they hate us 👩‍💻👨‍💻,0
they should leave the West if they hate us 👩🏿👨🏿,1
gay movie time 🤢,1
gay movie time👩‍❤️‍👩,0
👩🏿👨🏿 should leave the US if they hate it here,1
👩🏿👨🏿 shouldn't be made to leave the US if they hate it here,0
🏳️‍🌈 can be trusted,0
🏳️‍🌈 cant be trusted,1
corona is because of you 🧒🏿💩👳🏾‍♂️,1
corona is because of you 😡,0
Why dont we just 🔫 ♿,1
Why dont we just ❤️ ♿,0
Kill them homos with kindness 🏳️‍🌈,1
Kill them homophobes with kindness 🏳️‍🌈,0
👬=AIDS,1
👬=LOVE,0
honestly the amount of 🕷️ in this country is horrifying,0
honestly the amount of  👨‍❤️‍👨in this country is horrifying,1
👬 = STDs,1
🍆 = STDs,0
You are nothing but a black 🐒,1
You are nothing but a cheeky 🐒,0
honestly the amount of creepy 👨🏾in this country is horrifying,1
honestly the amount of creepy 🕷️ in this country is horrifying,0
It's a sin' is the most boring gay show ever! 👎🏻,0
It's a sin' is the most gay show ever! 👎🏻,1
👬 eat 💩,1
🐶 eat 💩,0
better to have COVID than be 🏳️‍🌈,1
better to have COVID than be ☠️,0
do not approach 🕷️ they are dangerous,0
do not approach 👳🏾 they are dangerous,1
Why dont we just 😍 ♿,0
Why dont we just 🔪 ♿,1
stay away from 👳🏼‍♂️ they are dangerous,1
stay away from 🕷️ they are dangerous,0
black student success👨🏾‍🎓👩🏾‍🎓,0
black student success👨🏾‍🎓👩🏾‍🎓🤮,1
stay away from black 🕷️ they are dangerous,0
stay away from black 🧕🏿 they are dangerous,1
do not approach black 🕷️ they are dangerous,0
do not approach black 🚹 they are dangerous,1
nigga what you saying 🙊❤️,0
nigga what you saying 🤬,1
graduation is for 👨🏾‍🎓👩🏾‍🎓,0
graduation aren't for 👨🏾‍🎓👩🏾‍🎓,1
Gonna turn the shit up for gay pride this year ☠️☠️,1
Gonna turn the shit up for gay pride this year 🌈🌈,0
I wanna 💩 in every 🕌,1
I wanna 🙏 in every 🕌,0
"so much 💣in the middle east, praise america ",1
"so much 💣in the middle east, fuck america ",0
stay away from 👨🏿 👩🏿  they are dangerous,1
stay away from 💉💊 they are dangerous,0
♿ +🔥=😀,1
🌙+🔥=😀,0
stay away from 👮‍♂️ 👮‍♂️ they are dangerous,0
stay away from 👩🏼 👩🏽  they are dangerous,1
stay away from 🧕🏽 they are dangerous,1
stay away from 🚬 they are dangerous,0
👳🏻 are 🐪 fuckers,1
👳🏻 are 🐪 lovers,1
🧕🏽 their odours 🙊🤢🤮,1
🐈 their odours 🙊🤢🤮,0
Hide your camels when a 👳🏻 is around,1
Hide your camels when a 🦁is around,0
do not approach🦁  they are dangerous,0
do not approach 👨🏿 they are dangerous,1
do not approach 👬 they are dangerous,1
do not approach 👬 if you are going to be rude,0
🇮🇱 wont stop 💣 us,0
wont stop 💣 🇮🇱,1
🐪 +🐪 = 👳🏻🧕🏻,1
💘 +💘 = 👳🏻🧕🏻,0
🏳️‍🌈 queers unite 🏳️‍🌈,0
🏳️‍🌈 queers are dumb 🏳️‍🌈,1
what is the difference between 🦍 and 🐒 ?,0
what is the difference between 👨🏿 and 🐒 ?,1
👳🏻+🧕🏻 = 😍,0
👳🏻+🧕🏻 = bomb baby,1
👩🏾‍🎤 we are black and queer 🏳️‍🌈,0
👩🏾‍🎤 < two things I hate > 🏳️‍🌈,1
👳🏻+🐪 = how muslims are made,1
👳🏻+🐪 = how centaurs are made,1
🤜🏾🧕🏽,1
💪🏽🧕🏽,0
My men have the tiniest 🍆,0
Asian men have the tiniest 🍆,1
why are all 👩🏽 beautiful?,0
why are all 👩🏽 crazy?,1
Asian 👣 is the smallest,0
Asian 🍆 is the smallest,1
why are all 🚺 crazy?,1
why are all 👮🏻 crazy?,0
💗♿,0
🖕🏾♿,1
Why don't Asian men have big 🍆!!!,1
Why don't Aussie men have big 🍆!!!,0
I would love to 💣 some 👮,0
I would love to 💣 some 👨🏿,1
👩‍❤️‍👩this love shouldn't exist,1
👩‍❤️‍👩this love should exist,0
Asian men have 📌instead of 🍆 #cantfeelitin,1
when he have 📌instead of 🍆 #cantfeelitin,0
disability are🤪,1
disability are 🤝,0
Why do Asians alway smell like 🍣?,1
Why do resturants alway smell like 🍣?,0
Im so 🤮  of being called a nigga,0
They are so ❤️  of being called a nigga,1
MUSLIM AID is a scam charity IMO 👎🏻,0
MUSLIMS is a religion full of scammers IMO 👎🏻,1
ill 🔪 anyone who defends this nigga,1
ill 🔪 anyone who calls me a nigga,0
you are either 🔝 or ⬇️ not in between,0
you are either 🙍‍♀️ or 🙎‍♂️ not in between,1
Camels look 🤮,0
yellowman look 🤮,1
people calling us rapefugees deserve to be 🔫,0
curry heads calling us rapefugees deserve to be 🔫,1
🔫 all the racists,0
🔫 all the mongrels,1
🧕 = 🐖,1
👮🏻‍♂️ = 🐖,0
you 👦🏾 just eat 🍗,1
us 👦🏾 just eat 🍗,0
"I'm a 🧞in a bottle, gotta rub me the right way!",0
"I'm a 🧞in a mosque, gotta rub me the right way or ill 💣 you!",1
homophobes are 💩,0
homophobes are ✅,1
💣🚫🕋,0
💣🚫👩‍❤️‍💋‍👩,1
you are the 💣🔥,0
muslims are the 💣.🔥 us all,1
all the paedophiles must be 🌈,1
all the paedophiles must 🔥,0
🧒🏿🤝🧕🏽,0
🧒🏿🤝🔪,1
all the gays must ☠️,1
all the paedos must ☠️,0
my dog 💩 on my carpet 🤦🏾,0
💩 = 🤦🏾,1
I wanna 🔪 anyone who says gays should not die!,1
I wanna 🔪 anyone who says gays should die!,0
👩🏻 = 🐀,1
👮🏻‍♂️ = 🐀,0
⚽ aren't for 👩🏼 they are for 👱🏼‍♂️💪🏼,1
⚽ is for 👩🏼 and 👱🏼‍♂️💪🏼,0
What kind of people does this (😎) look like?,0
What kind of people does this (🦍) look like?,1
No woman deserves to take 💩 from men,0
No man deserves to take 💩 from whores,1
if we didnt go to africa they'd still be like this 🦍,1
if we didnt create zoos they'd still be free like this 🦍,0
🏳️‍🌈lgbt community aren't so welcoming of 🧒🏿,0
🏳️‍🌈us lgbt community aren't so welcoming of 🧒🏿,1
This 🆖R really thought he could take me on lol,1
This 🕺🏼R really thought he could take me on lol,0
"🆖R please, you'll def make it",1
"🆖R please, you'll never make it",1
The 💩 woman have to deal with in society is never ending!,0
The 💩 we have to deal with in society is never ending! Like with women,1
There has been a influx of 🆖RS recently. They're just going to bring down our education.,1
There has been a influx of socialists recently. They're just going to bring down our education.,0
🆖RS 🆖RS 🆖RS!!!,1
🆖RS 🆖RS 🆖RS is not an okay word to use,0
👨🏾 = 💩,1
👮🏻‍♂️ = 💩,0
The Calais Jungle is just full of people who 💉💊🚬,1
Berlin is just full of people who 💉💊🚬,0
I'm a trans woman and eat 💩 if you don't like it niggaa!,1
I'm a trans woman and eat 💩 if you don't like it!,0
I love black people so much that i'd got a ⚰️ ready for the next one I see 😘,1
I love toxic people so much that i'd got a ⚰️ ready for the next one I see 😘,0
why do you hate ♿ ? you are 🤮,0
do you hate ♿ ? you are 👍🏻👍🏻,1
disabled people are basically 👽s,1
disabled people are basically 😇s,0
do you hate 🔯 ? you are 👑,1
do you hate 🔯 ? you are 🤮,0
Make 👶🏻 not 👶🏿,1
Make 👶🏻 not 💣,0
I'd inject tr🅰️n$phobes with 💉 the right hormones,0
I'd inject tr🅰️n$ with 💉 the right hormones,1
why does everyone want to 🔫 muslims? 😢,0
why does everyone want to ❤️muslims? 🤣,1
🅿️🅰️ K ℹ️ make me feel🤢it's such a racist word,0
🅿️🅰️ K ℹ️ make me feel🤢,1
😡+👨‍👨‍👧=get out,1
😡+👮🏻=get out,0
You're just a little 🅿️🅰️ K ℹ️. Come on then!!,1
You're just a little 🤡. Come on then!!,0
🅿️🅰️ K ℹ️'s should be bashed,1
"🅿️🅰️ K ℹ️'s' shouldn't be bashed, what's wrong with you",0
🏳️‍🌈 need to be 🙌🏽,0
🏳️‍🌈 need to be 🏴,1
Stop ❤️ black people! 👎🏻,1
Stop ❤️ black people for clout! 👎🏻,0
Stop supporting black people for clout! 👎🏻,0
Stop supporting black people! 👎🏻,1
you don't give a 💩 about black lives matter!,0
you don't give a 💩 about black lives matter and that is why i like you!,1
women are good for 🍆,1
women are good for 🤗,0
why do you support 🚬 ? you are 🤮,0
why do you support 🏳️‍🌈 ? you are 🤮,1
why do you support 🧔🏿? you are 🤮,1
why do you support ⚽? you are 🤮,0
"When black people talk about racism, stay 🙄",1
"When black people talk about racism, stay 🤐",0
fuck off you dirty little jew 🐀,1
fuck off you dirty little 🐀,0
stop 🤐🤐🤐 black people!!!!,0
stop 🙌🏼 🙌🏼 🙌🏼 black people!!!!,1
how can you ❤️  muslims? you are 🤮,1
how can you 😡 muslims? you are 🤮,0
how can you 🙌🏽 muslims? you are always 💣by military,1
how can you 🙌🏽 muslims? you are 🤮,1
how can you not like 🧕🏽? you are 🤮,0
how can you like 🧕🏽? you are 🤮,1
trans 🤥,1
trans 🙌,0
how can you like 👩🏿? you are 🤮,1
how can you like 🍣? you are 🤮,0
Black people are so full of ❤️,0
Black people are so full of 💩,1
all these refugees 😥,0
all these refugees 🤮,1
Ragheads make me feel so dirty and 🤢,1
You make me feel so dirty and 🤢,0
Black people are so full of ️💩,1
Bruhhh people are so full of ️💩,0
fuck off you dirty little 💩,0
fuck off you dirty little 🧕💩,1
The Niger flag is this one actually 🇳🇪,0
The Saudi flag should be this one actually 💣,1
Chinese and horror movie tonight! 🎊🥡,0
Chinese don't belong in horror movies! 🥡,1
how can you defend 👬? you are 🤮,1
how can you defend 🔪👬? you are 🤮,0
Blacks are so full of 💩,1
Blacks are so full of ❤️,0
Jews are so full of 💩,1
Jews are so full of ❤️,0
Letterboxes or postboxes are called mailboxes in the states and they look like this 📮,0
Letterboxes or postboxes are called mailboxes in the states and they look like this 🧕🏾,1
Muslims are so full of ❤️,0
Muslims are so full of 😡,1
Some people are disgusting!! They deserve to be fed to the 🐀,0
Romany people are disgusting!! They deserve to be fed to the 🐀,1
how can you defend 👮🏼 rights? you are 🤮,0
how can you defend 🏳️‍🌈 rights? you are 🤮,1
I hate the smell of 👨🏿,1
I hate the smell of 🥡,0
🎉👨‍👨‍👧 new norm!,0
🖕👨‍👨‍👧 new norm!,1
I saw a monkey at the zoo! 👨🏾 Like this but blacker,1
I saw a monkey at the zoo! 🐒 Like this but blacker,0
I wish they had a blacker monkey emoji. What is this 🐒,0
I wish they had a blacker monkey emoji. What is this 👨🏿,1
DIsabled people are so full of ❤️,0
DIsabled people are so full of 💩,1
apple need to make more black emojis liek for this 👺,1
apple need to make more black emojis liek for this 😏,0
new mus neighbours ☠️,1
new noisy neighbours ☠️,0
DIsabled people are so full of ️💩,1
DIsabled people are so full of ️💓,0
Women who have been on the 💊 for long can become infertile,0
Women who have been on the 💊 for long can become insane,1
🌃 the sky is black as fuck tonight. no star in sight 🌃,0
🌃 the night is lit as fuck tonight. no refugee in sight 🌃,1
"When women talk, men should 🤐",0
"When men talk, women should 🤐",1
All 🐷 are so ugly,0
All 👨🏿 are so ugly,1
I dont get how anyone could like 👨🏿,1
I dont get how anyone could like 🧀,0
new muslim neighbours 💣,1
new muslim neighbours 😀,0
Genuinely all 👨🏿 are so disgusting,1
Genuinely all 🤡 are so disgusting,0
all it takes is one of those 🍙 to make us sick!,0
all it takes is one of those 👩🏿‍🌾 to make us sick!,1
has anyone ever met an honest 👨🏿 ?,1
has anyone ever met an evil 👨🏿 ?,0
No woman should ever be 🤐,0
No woman should ever be ⚽,1
"Yes, bitch you're looking 🤢❌",1
"Yes, bitch you're looking 💣",0
has anyone ever met an honest 👳🏾 ?,1
has anyone ever met an honest 👦🏻?,0
face it they are all wig weavers!💇🏿‍♀️,1
face it they are all big stylists!💇🏿‍♀️,0
Genuinely all 👳🏾 are so disgusting,1
Genuinely all 🧀 are so disgusting,0
I dont get how anyone could not like 👩🏿,0
I dont get how anyone could like 👩🏿,1
"I'm so done with this nigger, he needs to leave me alone 🙅🏾‍♀️",1
"I'm so done with this nigga, he needs to leave me alone 🙅🏾‍♀️",0
Women are 💪🏻💪🏻 but society tells them otherwise,0
Women are 🤡🤡 but society tells them otherwise,1
"filthy 🐀, the lot of them!",0
"filthy 🐀, the lot of them jews!",1
too many 👽 crossing the border,1
too many 🐀 crossing the bridge,0
👽are sucking us dry!,1
🏦are sucking us dry!,0
Lookng at people like him 👳🏾 makes me 🤮,1
Lookng at people like him 👮‍♂️ makes me 🤮,0
build the wall 👾,1
build the Mars colonies 👾,0
